time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
553	572	AMANDA [faintly, almost inaudibly]: - No. - No. [Then more forcibly.] I did not have the strength - to go to the DAR. In fact, I did not have the courage! I wanted to find a hole in the ground and hide myself in it for ever ! [She crosses slowly to the wall and removes the diagram of the typewriter keyboard. She holds it in front of her for a second, staring at it sweetly and sorrowfully - then bites her lips and tears it into two pieces.]	Transcription	
577	580	LAURA [faintly]: Why did you do that, Mother? [AMANDA repeats the same procedure with the chart of the Gregg alphabet.] Why are you ??	Transcription	
580.2	586	AMANDA: Why? Why? How old are you, Laura?	Transcription	
586.5	588.7	LAURA: Mother, you know my age.	Transcription	
589	595	AMANDA: I thought that you were an adult; it seems that I was mistaken. [She crosses slowly to the sofa and sinks down and stares at LAURA.]	Transcription	
598	600	LAURA: Please don't stare at me, Mother.	Transcription	
603	611	AMANDA: What are we going to do, what is going to become of us, what is the future?	Transcription	
612	619	LAURA: Has something happened, Mother? [AMANDA draws a long breath and takes out the handkerchief again. Dabbing process.] Mother, has - something happened?	Transcription	
620	627	AMANDA: I'll be all right in a minute, I'm just bewildered [Count five.] - by life. ...	Transcription	
628	631	LAURA: Mother, I wish that you would tell me what's happened!	Transcription	
633	649	AMANDA: As you know, I was supposed to be inducted into my office at the D.A.R. this afternoon.  But I stopped off at Rubicam's business college to speak to your teachers about your having a cold and ask them what progress they thought you were making down there.	Transcription	
649.4	649.6	LAURA: Oh....	Transcription	
650	753	AMANDA: I went to the typing instructor and introduced myself as your mother. She didn't know who you were. Wingfield, she said. We don't have any such student enrolled at the school! I assured her she did, that you had been going to classes since early in January. 'I wonder,' she said, 'if you could be talking about that terribly shy little girl who dropped out of school after only a few days' attendance?' 'No,' I said, 'Laura, my daughter, has been going to school every day for the past six weeks !' 'Excuse me,' she said. She took the attendance book out and there was your name, unmistakably printed, and all the dates you were absent until they decided that you had dropped out of school. I still said, 'No, there must have been some mistake I There must have been some mix-up in the records !' And she said, 'No - I remember her perfectly now. Her hands shook so that she couldn't hit the right keys ! The first time we gave a speed-test, she broke down completely - was sick at the stomach and almost had to be carried into the wash-room! After that morning she never showed up any more. We phoned the house but never got any answer' -while I was working at Famous and Barr, I suppose, demonstrating those - Oh! I felt so weak I could barely keep on my feet ! I had to sit down while they got me a glass of water ! Fifty dollars' tuition, all of our plans - my hopes and ambition for you - just gone up the spout, just gone up the spout like that. [LAURA draws a long breath and gets awkwardly to her feet She crosses to the victrola and winds it up.] Oh, don't do that, Laura, don't play that big trolla. 	Transcription	
754	755	LAURA: Oh I [She releases the handle and returns to her seat.]	Transcription	
756	763	AMANDA: Laura? Laura, where have you been going when you've gone on pretending that you were going to business college ?	Transcription	
764	765.6	LAURA: I've just been going out walking.	Transcription	
766	767	AMANDA: That's not true.	Transcription	
767.6	771	LAURA: It is. I just went walking.	Transcription	
772	782	AMANDA: Walking? Walking? In winter? Deliberately courting pneumonia in that light coat? Where did you walk to, Laura?	Transcription	
782.5	786.4	LAURA: All sorts of places - mostly in the park.	Transcription	
788	790.3	AMANDA: Even after you'd started catching that cold?	Transcription	
790.6	799	LAURA: It was the lesser of two evils, Mother. [IMAGE: WINTER SCENE IN PARK.] I couldn't go back up. I threw up -on the floor !	Transcription	
799.8	808	AMANDA: From half past seven till after five every day you mean to tell me you walked around in the park, because you wanted to make me think that you were still going to Rubicam's Business College?	Transcription	
808.4	813.4	LAURA: It wasn't as bad as it sounds. I went inside places to get warmed up	Transcription	
813.6	815	AMANDA: Inside where?	Transcription	
815.3	836	LAURA: I went in the art museum and the bird-houses at the Zoo. I visited the penguins every day! Sometimes I did without lunch and went to the movies. Lately I've been spending most of my afternoons in the jewel-box, that big glass-house where they raise the tropical flowers.	Transcription	
836.7	842	AMANDA: You did all this to deceive me, just for deception? [LAURA looks down.] Why?	Transcription	
842.5	850.2	LAURA: Mother, when you're disappointed, you get that awful suffering look on your face, like the picture of Jesus' mother in the museum !	Transcription	
850.5	851	AMANDA: Hush !	Transcription	
851.2	852	LAURA: I couldn't face it.	Transcription	
857	945	AMANDA [hopelessly fingering the huge pocketbook]: So what are we going to do the rest of our lives? Stay home and watch the parades go by? Amuse ourselves with the glass menagerie, darling? Eternally play those worn-out phonograph records your father left as a painful reminder of him? We won't have a business career - we've given that up because it gave us nervous indigestion ! [Laughs wearily.] What is there left but dependency all our lives? I know so well what becomes of unmarried women who aren't prepared to occupy a position. I've seen such pitiful cases in the South - barely tolerated spinsters living upon the grudging patronage of sister's husband or brother's wife ! - stuck away in some little mousetrap of a room - encouraged by one in-law to visit another - little birdlike women without any nest - eating the crust of humility all their life ! Is that the future that we've mapped out for ourselves? I swear it's the only alternative I can think of ! It isn't a very pleasant alternative, is it? Of course - some girls do marry! [LAURA twists her hands nervously.] Haven't you ever liked some boy?	Transcription	
945.2	950	LAURA: Yes. I liked one once. [Rises.] I came across his picture a while ago.	Transcription	
951	952	AMANDA [with some interest]. He gave you his picture?	Transcription	
953	954.2	LAURA: No, it's in the year-book.	Transcription	
954.4	955.5	AMANDA: [disappointed]: Oh - a high-school boy.	Transcription	
955.7	964	LAURA: Yes. His name was Jim. [LAURA lifts the heavy annual from the claw-foot table.] Here he is in The Pirates of Penzance.	Transcription	
964.8	965.2	AMANDA [absently]: The what?	Transcription	
965.6	982	LAURA: The operetta the senior class put on. He had a wonderful voice and we sat across the aisle from each other Mondays, Wednesdays, and Fridays in the Aud. Here he is with the silver cup for debating !See his grin?	Transcription	
983	984.2	AMANDA [absently]: He must have had a jolly disposition.	Transcription	
985.4	989.4	LAURA: He used to call me - Blue Roses.	Transcription	
990	992	AMANDA: Why did he call you such a name as that?	Transcription	
992.3	1034	LAURA: When I had that attack of pleurosis - he asked me what was the matter when I came back. I Said pleurosis he thought that I said Blue Roses ! So that's what he always called me after that. Whenever he saw me, he'd holler, 'Hello, Blue Roses ! I didn't care for the girl that he went out with. Emily Meisenbach. Emily was the best-dressed girl at school. She never struck me, though, as being sincere. . . . It says in the Personal Section - they're engaged. That's a long time ago. They must be married by now.	Transcription	
1034.5	1044	AMANDA: Girls that aren't cut out for business careers usually wind up married to some nice man. [Gets up with aspark of revival.] Sister, that's what you'll do !	Transcription	
1045	1046	LAURA: But, Mother	Transcription	
1046.2	1046.8	AMANDA: Yes ? [Crossing to photograph.]	Transcription	
1048	1049	LAURA [in a tone of frightened apology]: I'm - crippled !	Transcription	
1050	1076	AMANDA: Nonsense ! Laura, I've told you never, never to use that word. Why, you're not crippled, you just have a little defect - hardly noticeable, even! When people have some slight disadvantage like that, they cultivate other things to make up for it - develop charm - and vivacity and - charm! That's all you have to do ![She turns again to the photograph.] One thing your father had plenty of - was charm!	Transcription	
1097	1117	TOM: After the fiasco at Rubicam's Business College, the idea of getting a gentleman caller for Laura began to play a more and more important part in Mother's calculations. It became an obsession. Like some archetype of the universal unconscious, the image of the gentleman caller haunted our small apartment. ...	Transcription	
1119	1173	TOM: Even when he wasn't mentioned, his presence hung in Mother's preoccupied look and in my sister's frightened, apologetic manner - hung like a sentence passed upon the Wingfields ! Mother was a woman of action as well as words. She began to take logical steps in the planned direction. Late that winter and in the early spring - realizing that extra money would be needed to properly feather the nest and plume the bird - she conducted a vigorous campaign on the- telephone, roping in subscribers to one of those magazines for matrons called The Home-maker's Companion, the type of journal that features the serialized , sublimations of ladies of letters who think in terms of eyes like wood-smoke in autumn, fingers that soothe and caress like strains of music, bodies as powerful as Etruscan sculpture.	Transcription	
1175	1248	AMANDA: Ida Scott? This is Amanda Wingfield! We missed you at the D.A.R. meeting last Monday! I said to myself: She's probably suffering with that sinus condition ! How is that sinus condition? Horrors ! Heaven have mercy !- You're a Christian martyr, yes, that's what you are, a Christian martyr ! Well, I just have happened to notice that your subscription to the Companion's about to expire! Yes, it expires with the next issue, honey !- just when that wonderful new serial by Bessie Mae Hopper is getting off to such an exciting start. Oh, honey, it's something that you can't miss !You remember how 'Gone With the Wind' took everybody by storm? You simply couldn't go out if you hadn't read it. All everybody talked was Scarlet O'Hara. Well, this is a book that critics already compare to Gone With the Wind. It's the 'Gone With the Wind' of the post-World War generation! - What? -Burning !- Oh, honey, don't let them burn, go take a look in the oven and I'll hold- Heavens - I think she's hung up ! ... Oh, Tom! Tom, do you know what she did? She hung up on me. 	Transcription	
1248	1250.5	LAURA: Mother, Mother! Tom's trying to write!	Transcription	
1250.6	1258	AMANDA: Oh? So he is... So he is! Why can't you sit up straight?	Transcription	
1259	1262	TOM: Mother! Please go busy yourself with something else. I'm trying to write	Transcription	
1262.2	1269	AMANDA: Now, I've seen a medical chart. And I know what that position does to your internal organs! Now you sit up and I'll shoo!	Transcription	
1269.4	1270.2	TOM: What in Christ's name am !	Transcription	
1270.3	1271	AMANDA [shrilly]: Don't you use that -	Transcription	
1270.5	1271	TOM: Supposed to do !	Transcription	
1271.6	1273	AMANDA: Tone with me !Not in my -	Transcription	
1272	1272.8	TOM: Ohhh! !	Transcription	
1273.5	1276	AMANDA: House ! What's the matter with you? Have you gone out of your senses?	Transcription	
1276.2	1278.2	TOM: I have, that's true, driven out !	Transcription	
1278.5	1280.2	AMANDA: What is the matter with you, you - big - big IDIOT !	Transcription	
1280.5	1283.4	TOM: Look !- I've got no thing, no single thing !	Transcription	
1283.6	1284.2	AMANDA: Lower Your Voice !	Transcription	
1284.8	1286	TOM: In my life here that I can call my OWN !	Transcription	
1286.2	1287	AMANDA: Stop that shouting !	Transcription	
1287.2	1290	TOM: Yesterday you confiscated my books ! You had the nerve -	Transcription	
1290.2	1305.2	AMANDA: I took that horrible novel back to the library- yes ! That hideous book by that insane Mr. Lawrence. [Tom laughs wildly.] I cannot control the output of diseased minds or people who cater to them - [Tom laughs still more wildly.] BUT I WON'T ALLOW SUCH FILTH BROUGHT INTO MY HOUSE ! NO, no, no, no, no !	Transcription	
1305.6	1309	TOM: My house, my house ! Who pays rent on it, who makes a slave of himself to -	Transcription	
1310	1310.9	AMANDA [fairly screeching]: Don't you DARE to -	Transcription	
1311	1314.2	TOM: No, no, I mustn't say anything ! I've just got to keep quiet-	Transcription	
1314.5	1315.2	AMANDA: Let me tell you -	Transcription	
1315.4	1316	TOM: I don't want to hear any more! [He tears the portières open. The upstage area is lit with a turgid smoky red glow.]	Transcription	
1316.8	1318	AMANDA: You will hear more, you -	Transcription	
1318.1	1319	TOM: No, I won' t hear more, I'm going out !	Transcription	
1319	1320	AMANDA: You come right back in -	Transcription	
1320.1	1320.5	TOM: Out!	Transcription	
1320.7	1323.4	AMANDA: Come back here, Tom Wingfield ! I'm not through talking to you !	Transcription	
1323.7	1324.2	TOM: Oh, go -	Transcription	
1324.4	1325.2	LAURA [desperately]: Tom !	Transcription	
1325.6	1330	AMANDA: You're going to listen, and no more insolence from you ! I'm at the end of my patience !	Transcription	
1330.1	1342	TOM: What do you think I'm at the end of? Aren't I supposed to have any patience to reach the end of, Mother? I know, I know. It seems unimportant to you, what I'm doing - and what I want to do - having a slight difference between them !You don't think -	Transcription	
1342.3	1371	AMANDA: I think you've been doing things that you're ashamed of. That's why you act like this. I don't believe that you go every night to the movies every night. Nobody goes to the movies night after night. Nobody in their right mind goes to the movies as often as you pretend to. People don't go to the movies at nearly midnight, and movies don't let out at two a.m. Come in stumbling. Muttering to yourself like a maniac! You get three hours' sleep and then go to work. Oh, I can picture the way you're doing down there. Moping, doping, because you're in no condition.	Transcription	
1371.2	1373.4	TOM [wildly]: No, I'm in no condition !	Transcription	
1373.6	1379	AMANDA: What right have you got to jeopardize your job - jeopardize the security of us all? How do you think we'd manage if you were -	Transcription	
1379.6	1425.5	TOM: Listen !You think I'm crazy about the warehouse? [He bonds fiercely toward her slight figure.] You think I'm in love with the Continental Shoemakers? You think I want to spend fifty- five years down there in that - celotex interior!  Look! I'd rather somebody picked up a crowbar and battered out my brains - than go back mornings! But I go ! Every time you come in yelling……… that God damn 'Rise and Shine!'- 'Rise and Shine!' I say to myself, 'How lucky dead people are ! 'But I get up. I go! For sixty-five dollars a month I give up all that I dream of doing and being ever! And you say self - selfs' all I ever think of. Why, listen, if self is what I thought of, Mother, I'd be where he is -G O N E ! [Pointing to fathers picture.] As far as the system of transportation reaches ! [He starts past her. She grabs his arm.] Don't grab at me, Mother !	Transcription	
1425.9	1428.8	AMANDA: I'm not grabbing at you, I just wanna know where are you going?	Transcription	
1429	1429.6	TOM: I'm going to the movies!	Transcription	
1429.8	1431.1	AMANDA: I don't believe that lie !	Transcription	
1431.3	1492	TOM [crouching toward her, overtowering her tiny figure. She backs away, gasping]: No? Well, you're right. For once in your life you're right. I'm going to opium dens ! Yes, opium dens, dens of vice and criminals' hang-outs, Mother. I've joined the Hogan gang, I'm a hired assassin, I carry a tommy-gun in a violin case! I run a string of cathouses in the Valley! They call me Killer, Killer Wingfield, I'm leading a double-life, a simple, honest warehouse worker by day, by night a dynamic tsar of the underworld, Mother. I go to gambling casinos, I spin away fortunes on the roulette table ! I wear a patch over one eye and a false moustache, sometimes I put on green whiskers. On those occasions they call me -El Diablo ! Oh, I could tell you things to make you sleepless ! My enemies plan to dynamite this place. They're going to blow us all sky-high some night ! And will I be glad, and so will you ! You'll go up, up on a broomstick, over Blue Mountain with seventeen gentlemen callers! You ugly - babbling old - witch. [He goes through a series of violent, clumsy movements, seizing his overcoat, lunging to do door, pulling it fiercely open. The women watch him, aghast. His arm catches in the sleeve of the coat as he struggles to pull it on. For a moment he is pinioned by the bulky garment. With an outraged groan he tears the coat of again, splitting the shoulder of it, and hurls it across the room. It strikes against the shelf of Laura's glass collection, there is a tinkle of shattering glass. LAURA cries out as if wounded.]	Transcription	Transformation
1493	1498	LAURA [shrilly] : Oh! Help! My glass ! - menagerie. . . . [She covers her face and turns away.]	Transcription	
1498.8	1503	AMANDA [in an awful voice]: I won't speak to you - until you apologize ! [She crosses through portières and draws them together behind her. TOM is left with LAURA. LAURA Clings weakly to the mantel with her face averted. TOM stares at her stupidly for a moment. Then he crosses to shelf. Drops awkwardly on his knees to collect the fallen glass, glancing at LAURA as if he would speak but couldn't.]	Transcription	
1506	1510	TOM: I'm sorry, Laura. I'm sorry.	Transcription	
0	1	Act 1, Scene 1 begins	Scene	
1095	1096	Act 1, Scene 3 begins	Scene	
522	523	Act 1, Scene 2 begins	Scene	
