time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
136	142	Two note repetition that blends together into one note: A question that comes up a lot in film and in art in general is the reality of intention versus the created importance. In other words, for this example, is there intention in the repetition blending into one voice as a commentary for the film itself? 	Score	Transformation
12	32	Ian says, "You know I've had my head tilted up to the stars for as long as I can remember." He pauses. Then says, "You know what's surprised me the most?" He pauses again. "It wasn't meeting them," he begins his answer. He looks down and concludes, "It was meeting you."	Dialogue	
73	76	Louise remembers and says, "I forgot how good it felt to be held by you." This seems 	Dialogue	
86	87	Ian says, "You wanna make a baby?"	Dialogue	
122	125	Louise replies saying, "Yes... Yeah." Her voice seems shaky and sincere at first, but when she later remarks "yeah", she seems to know the weight of her answer completely and has a confident and firm tone.	Dialogue	
3	5	Louise dancing and smiling, seemingly contradicting the narrative people would assume when someone knows the exact trajectory of their lives; leading us to think she might have a different interpretation.	General Commentary	Time
20	22	When Ian asks Amy these questions, after finishing the movie, it finds itself in a strange place, as the sentiment of what Ian was trying to say versus the very literal asking of a question are in different places. The sentiment of him saying that she surprises her could still evoke an emotional response no matter if Louise knew what he was going to say.	General Commentary	Time
33	37	Louise's response, however, was not very open or obvious to us. She seems to not be surprised herself, funnily, but almost to have a somber reaction. The way I interpret it is as a mental state: knowing where this is going and how this could be a beginning moment, a crux of will and memory as a moment in time. 	General Commentary	Time
40	46	I think a large point the contrasting scenes in this ending portion of the film is to represent how many of these moments we deem as so important seem very insignificant either later on or in the larger scheme of things. In the scene prior, she is having a very reflective moment with Ian, but as we jump into the 'future' we get a picture of the carelessness and in-the-moment attitute of happiness and love they experience. 	General Commentary	Time
60	70	This cross-time, cross-scene parallel as Louise hugs Ian in both the direct aftermath of solving the case and in her romance years later with him, seems to critize even the other points made, like in the last General Commentary annotation. It calls to question our understanding of moments themselves, as we tend to see them as deeply, very different, but in many ways, like the hug between Ian and Louise, there are a lot of parallels. 	General Commentary	Time
73	76	Louise and her comment about her memory of being in Ian's arms is strange in a straight-timeline world because she, considering she says it in the scene right after the case with the aliens had been solved, has never been in Ian's arms before. This hints, like the changing time-scenes, at the large part of the plot where Louise has the abiIity, thanks to her understanding of the new language, to 'see into the future' or for more cohesive terms of the film, she can 'see her life holistically'. So, even though she hasn't, in Ian's perception of time, ever been held by him, she 'remembers', which seems to point to many of the linguistic themes of the film as a 'bad' translation, being in his arms. Maybe, there is even an attempt at labeling this 'bad' translations as a creation themselves to a new or unique understanding of the term itself. 	General Commentary	Time
81	82	The picture that is, we assume, to be created by the daughter is hanging up on the wall of Ian and Louise's house, and this begs the question of time and memory in a much more 'usual' way in most culture. We can assume that the daughter, Hannah, drew this image after being told about the story by either Louise or Ian, or both. This seems to give credit to memory in that way, as opposed to the more controversial and non-linear understanding of time they have been hinting at. So, it could either be the film creators' inclusion of an idea other than their own to give it its own credit, or it could be seen as them including that understanding into their more holistic view of time. 	General Commentary	Transformation
87	121	This annotation highlights the long period of time that it takes for Louise to answer Ian's question on whether or not she wants to make a baby. This seems to come up multiple times, where we would assume that since she knows that he is going to ask that question, why would it take her so long to respond? It seems to correlate with a larger theme that is emphasized at the very end of the film that we will get to, but the idea, itself, is that having answers to questions doesn't remove their magical or emotional essence. Much of the film, especially considering the language aspect, deals with the importance of teaching the aliens what a 'question' is. This is because, ultimately, the humans want to ask "what is your purpose on earth?" So, this reaction to the question seems to contradict some of the importance and initial response that viewers would have when watching that scene, as now we are being informed that it is the essence of the question, the timelessness of it, not the answer, that makes it beautiful. 	General Commentary	Time
105	114	During the conglomeration of the daughter's life, this selection seems to be the youngest, apart from the birth we see at the beginning, in the film. The irony of it is that during this 'montage' of her life, this selection of her as a baby is in the middle, and it is surrounded, both before and after, of her as an older child. This seems to add to that friction in moments and time, and the rejection of the timeline. 	General Commentary	Time
127	130	Before this scene, our relation from all of the scenes in the montage seem to be a merely good coordination from the editor of the film, as some of the scenes seem to be in conversation with each other. However, this is the first scene where it seems like Louise smirks as a direct reponse to the scene that happened prior, though it was technically in the 'future'. This makes the scenes themselves and their presentation serve as not only a portrayal of Louise's life and memory, but also as her presentation of them. 	General Commentary	Transformation
132	134	Louise completely embraces Ian, as mentioned before, and her hand grips his hair and head. This seems to represent this larger theme, that we mentioned we would cover in an earlier General Commentary, of completely throwing herself into the moment, as we can assume that if we knew the entire trajectory of our lives we could be easily lost in our understanding of time. This also adds as a critique of viewing time as a line, as it suggests that we are dependent on it to understand our meaning and our place within it. 	General Commentary	Time
