time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
329	452	"As a comparison, a critical comparison, of French literarure and American literature. While I was just- I almost fainted, but then I called my doctor and she just laughed. And then I called the American Embassy, where I had a good friend. He used to be my publisher, Hope McLind. He said I'll come around and see you. So he came around, and said "Well, this is really something. You obviously can't speak about-  in French, to the Sorbonne audience about French literature and American literature- what can you do?" And I said, "Well, I can hardly-uh, dance the Can-Can because it's not very suitable for the occasion." And then he said, "Surely, you can do something." And suddenly I said, "Well, maybe I could read a poem in English." And he said, "Maybe so." And I said, "And you talk about, and you, and you do the talking. You talk about French, I mean, American Literature. And let Rene Lalou, that's the wonderful French critic, talk about French literature. So I wrote to [inaudible] and put them on a stage. Anyways, so. They talk, and I had to sit in the middle of the stage. Trying to look intelligent, and not understanding a word that was said. But for good luck, I'll tell you that poem I said that night."	Transcription	
456	532	"When we are lost what image tells? Nothing resembles nothing. Yet nothing Is not blank. It is configured Hell: Of noticed clocks on winter afternoons, malignant stars, Demanding furniture. All unrelated And with air between. The terror. Is it of Space, of Time? Or the joined trickery of both conceptions? To the lost, transfixed among the self-inflicted ruins, All that is non-air (if this indeed is not deception) Is agony immobilized. While Time, The endless idiot, runs screaming round the world."	When We Are Lost by Carson McCullers	Time
533	544	Applause; ending with a bit of mumble	Transcription	
551	565	"I have been writing for nearly 20 years, and the genesis of creation is still strange to me. Mysterious."	Transcription	
578	588	"I first started writing plays, and I wrote two plays. The first play was about, was laid in Australia- oh, New Zealand, oh, I guess it was."	Transcription	
589	592	Laughter	Noise	
593	624	"And it was about, oh what was- it started in a graveyard and ended in a catapult. I mean really. Lots of fun. I was in love with Eugene O'Neill. I had his picture on my bureau and everything. And the next play was called "Fire of Life", and the chief characters were Nietzsche, the only charaters were Nietzsche and Jesus Christ."	Transcription	
625	631	Laughter	Noise	
631	671	"Then I wrote a novel. And to my great joy, it was accepted by a literary agent. He was very much puzzled by it, but one thing I had people giving tickets to productors in subways, and that's why I'd never been to New York. And then, uh, all kinds of little peculiar things, prompted him to write me- 'How long has it been since you were in New York?'"	Transcription	
672	673	Laughter	Noise	
683	715	"Then when I was 17 years old I went to New York, and two marvelous things happened: I the-the first time I saw snow, and then, a lot of snow, and my first story was accepted by Whit Burnett and Martha Foley of Story Magazine. Oh, that was a day! And, um, I'm not only felt proud, but rich, I- they sent me 25 dollars, I spent it that same afternoon. It was great celebration."	Transcription	
716	727	Silence, static	Noise	
728	755	"But about this mystery of creation that fascinates all us creative people. What is- what- what is- what is the time, and what, pracipitates a way to gather for some power in a sort of searchless nature."	Transcription	Transformation
761	815	"I remember when "The Heart is a Lonely Hunter" found itself. I was staying with my parents in Georgia. And I've been writing this book. It was a marvelous, bundling book. I know what I was doing, I just knew about these 5 people, and 4 of them were always talking to the other one, the other, the 5th one, the placed one. And I wondering why they were always talking to this- this rather colorless character, person I'd rather say. And I was- but I worked very hard, I worked every day. And, um, every day I knew I would fail."	Transcription	
826	932	"But I was still fascinated by the- this silicone novel, but now and then I'll think, well, when worst comes to worst, I'll split it up in little stories like Weinsburg or Hao. But-but still didn't satisfy me, I still thought- as a novel. And one day I was walking up and down in the lil- living room, in our little square or everrow, and I was skipping squares. I was thinking and worrying about that book. And suddenly, that came to me, and illumination. Suddenly, I knew that, that um, Minovitz, that was the character who was always being talked to was a deaf-mute. And then immediately after that, I said but his name was not Minovitz, too, it was Singer. John Singer. And so immediately, all the other things just fitted into place. And there was a focus and a blaze, and the- and I understood what was being done and what I was supposed to do. And um, a few days later, I started- in the town, now two mutes, and they were always together. Now Tennessee, you want to. What are you going to read?"	Transcription	Transformation
933	936	Laughter	Noise	
937	985	"Well, I guess it's about time I did something. Uh, last time I read the opening paragraph of "The Heart is the Lonely Hunter," but that is not my favorite part of the book. It's awfully hard to find a section of a book like this to read. Uh, I'm still searching for the part that I wanted to read, but, and I haven't found it. So, I think I'll read a part, uh, which should be read in its entirety, but it would take too much time. And its uh, in the insane asylum where the deaf-mute visits the antinopolis, the thing of it is antinopolis. I can't read all of it, and it's not fair to read just a bit of it, but I'll have to."	Transcription	
986	1065	Williams reads a section from "The Heart is a Lonely Hunter"	Excerpts	
1066	1115	Tennessee Williams pauses and askes McCullers, "should I read more?" She responds, "No, I think that til the very end- to the very last. Well for the first time I had commited myself ethically, morally, and with all my strength, and I worked for two years, and everyday they would come-- there were spasms of, of um, of um, of um, inspiration that carries what you see. The focus of the book is there, then the wake is just, it has to be just everday what you see to me. And finally it was finished, and you wanna read that little last paragraph?" He responds quickly with, "Oh, for "The heart is a Lonely Hunter?"	Excerpts	
1116	1122	Book turning	Noise	Transformation
1123	1228	Williams returns to finish the last paragraph	Excerpts	
1137	1169	"For in his swift radiance of illumination, he saw a glimpse of human struggle and of valor, of the endless fluid passage of humanity through endless time, and of those who labor, and of those who, one word, love. His soul expanded, but for a moment only. For in him he felt a warning, a shaft of terror, between the two worlds he was suspended. He saw that he was looking at his own face in the counter-glass before him, sweat glistened on his temples and his face was contorted."	Excerpts	Time
1235	1296	"Well, after the strain of finish "The Heart of the Lonely Hunter", I just couldn't stop writing, it seems like. But I wanted to play, and I just wasn't- I didn't feel myself committed in what I was doing at the time. I just heard about this wire and army post near where I was living. And, um, in some way or another I just begun to see that soldier, and see the situation, and I just suddenly began to read, um, what's that, Tenn, would you read first paragraph? I didn't know what I was writing about then, I didn't know what was going to happen. I just suddently, to-to write a story just for the fun of it, you see. I didn't feel committed to it at all, anything-- just for the delight."	Transcription	
1297	1307	Williams begins, "Yeah... Uh, here's the first paragraph of "Reflections of the Golden Eye". I think, it's just as unfair to this novel to read it first paragaraph as the other one."  	Transcription	
1310	1366	Williams reads out the paragraph that McCullers pointed out.	Excerpts	
1369	1402	McCullers begins, "Well, I didn't know what was going to happen, but I knew something was going to--(coughing and laughing). I didn't know- I knew- I didn't know who was going to shoot who, but something was coming up. So then I just wrote for the fun of it, cause it was finished. Then I put it in a drawer for about two years. Until one day, uh, somebody, was, um, meddling in my things and read that story."	Transcription	Time
1403	1413	Two waves of laughter come and go	Noise	
1414	1415	"And he was an editor and wanted to know if he could take it."	Transcription	
1416	1424	Laughter	Noise	
1426	1500	"Why this is so, I don't know, but it seems to me that my work, so far, has been split up in two categories: one category, and I have been puzzled about what those difference between those categories were several times until, um, a dear friend and former music teacher of mine was staying with me last summer, and she said, "'The Heart of a Lonely Hunter' has a soul, 'The Member of the Wedding' has a soul, but 'Reflections of a Golden Eye' doesn't have a soul. Neither does 'The Ballad of a Sad Cafe.' Well, I said, well, I admit that 'Reflections' doesn't have much of a- soul in the way that I could name it, but I didn't agree with her about 'The Ballad of a Sad Cafe'. "	Transcription	Transformation
1503	1533	"Well it seems to me that the works that have a soul involve more with the evolutions of the human heart, while those that were written for play in the sense of language is concerned mostly with the convolution of the intellect. Of course there are- "	Transcription	
1534	1545	Sqweaky noise; seemingly drops conversation and restarts	Noise	Transformation
1546	1732	"Then my next workout, again, was, um, the hardest- writing I've ever done. It was "The Member of the Wedding." And, for more than a year, I just wrote the first paragraph over and over and over, and I couldn't get to the middle of the node, as Katherine Mansfield says. And all that first paragraph, that's the worst of all, because I think that, um, that the first paragraph should suggest, intimate the whole tone of the novel. And suggest all the themes, the first page, anyhow. And that is hard, you know, to do. And then I wrote, and wrote, and wrote, and I knew that I wasn't doing the right thing. And I kept working, and working, every day. It was just a novel about this, um, girl who had a crush with her music teacher, which had been done many many times before. And so, knew that wasn't a thing at all. And then one day, I was having Thanksgiving dinner with friends in Brooklyn. And, um, after we'd eaten and drunk a lot, suddenly, I heard a fire engine. And since I love fires, I rushed out of the door, I don't mean fires, but fire engines, I rushed out of the door, and, um, a friend of mine, Gypsy Rose Lee she was, who also loves fire engines, the one who rushed out with me. And something about that, that rush of air, the fresh air, you know, and I guess, it was the oxygen in my nose and excitement, I was starting on the street, called on watching the fire engine. When suddenly I came to me another illumination things I'm talking about, and I suddenly realized that Frankie is in love with her bride and the brother. And so I said, 'So listen, Gypsy, Frankie is in love with her bride and her brother.' "	Transcription	Transformation
1736	1781	"And there I found this symbol. [pause] Now, well, what is the connection between that [inaudible] and that, um, understanding of the 'Heart of the Lonely Hunter', what is the connection between the fire engine and, um, the other illumination about 'The Member of the Wedding'?"	Transcription	Transformation
